year,state,measure,prevalence_pct,sample_size
2011,IA,smoking,20.4,1182
2011,IL,smoking,20.9,889
2011,IN,smoking,25.6,1746
2011,KS,smoking,22.0,3547
2011,MI,smoking,23.3,2000
2011,MN,smoking,19.1,2479
2011,MO,smoking,25.0,1365
2011,ND,smoking,21.9,861
2011,NE,smoking,20.0,4205
2011,OH,smoking,25.1,1996
2011,SD,smoking,23.0,1480
2011,WI,smoking,20.9,942
2012,IA,smoking,18.1,1058
2012,IL,smoking,18.6,796
2012,IN,smoking,24.0,1761
2012,KS,smoking,19.4,1843
2012,MI,smoking,23.3,1835
2012,MN,smoking,18.8,1923
2012,MO,smoking,23.9,1352
2012,ND,smoking,21.2,798
2012,NE,smoking,19.7,3031
2012,OH,smoking,23.3,2474
2012,SD,smoking,22.0,1444
2012,WI,smoking,20.4,912
2013,IA,smoking,19.5,1226
2013,IL,smoking,18.0,839
2013,IN,smoking,21.9,1870
2013,KS,smoking,20.0,3865
2013,MI,smoking,21.4,2153
2013,MN,smoking,18.0,2002
2013,MO,smoking,22.1,1383
2013,ND,smoking,21.2,1336
2013,NE,smoking,18.5,2553
2013,OH,smoking,23.4,2371
2013,SD,smoking,19.6,1207
2013,WI,smoking,18.7,1066
2014,IA,smoking,18.5,1165
2014,IL,smoking,16.5,651
2014,IN,smoking,22.9,1930
2014,KS,smoking,18.1,2036
2014,MI,smoking,21.2,1295
2014,MN,smoking,16.3,2311
2014,MO,smoking,20.6,1220
2014,ND,smoking,19.9,1163
2014,NE,smoking,17.3,3249
2014,OH,smoking,21.0,1834
2014,SD,smoking,18.6,1170
2014,WI,smoking,17.4,1013
2015,IA,smoking,18.1,867
2015,IL,smoking,15.1,677
2015,IN,smoking,20.6,917
2015,KS,smoking,17.7,3343
2015,MI,smoking,20.7,1460
2015,MN,smoking,16.2,2293
2015,MO,smoking,22.3,1349
2015,ND,smoking,18.7,725
2015,NE,smoking,17.1,2484
2015,OH,smoking,21.6,1929
2015,SD,smoking,20.1,1114
2015,WI,smoking,17.3,948
2016,IA,smoking,16.7,951
2016,IL,smoking,15.8,623
2016,IN,smoking,21.1,1822
2016,KS,smoking,17.2,1743
2016,MI,smoking,20.4,1979
2016,MN,smoking,15.2,2214
2016,MO,smoking,22.1,1285
2016,ND,smoking,19.8,838
2016,NE,smoking,17.0,2191
2016,OH,smoking,22.5,2169
2016,SD,smoking,18.1,861
2016,WI,smoking,17.1,738
2017,IA,smoking,17.1,1131
2017,IL,smoking,15.5,693
2017,IN,smoking,21.8,2311
2017,KS,smoking,17.4,3145
2017,MI,smoking,19.3,1652
2017,MN,smoking,14.5,2220
2017,MO,smoking,20.8,1312
2017,ND,smoking,18.3,1047
2017,NE,smoking,15.4,2056
2017,OH,smoking,21.1,2071
2017,SD,smoking,19.3,1216
2017,WI,smoking,16.0,834
2018,IA,smoking,16.6,1338
2018,IL,smoking,15.5,717
2018,IN,smoking,21.1,1286
2018,KS,smoking,17.2,1505
2018,MI,smoking,18.9,1662
2018,MN,smoking,15.1,2317
2018,MO,smoking,19.4,1015
2018,ND,smoking,19.1,799
2018,NE,smoking,16.0,1917
2018,OH,smoking,20.5,2313
2018,SD,smoking,19.0,1160
2018,WI,smoking,16.4,741
2019,IA,smoking,16.4,1393
2019,IL,smoking,14.5,686
2019,IN,smoking,19.2,1366
2019,KS,smoking,16.2,1513
2019,MI,smoking,18.7,1552
2019,MN,smoking,14.6,2027
2019,MO,smoking,19.6,1219
2019,ND,smoking,17.0,727
2019,NE,smoking,14.7,2068
2019,OH,smoking,20.8,2352
2019,SD,smoking,18.3,1025
2019,WI,smoking,15.4,622
2020,IA,smoking,15.8,1300
2020,IL,smoking,12.7,424
2020,IN,smoking,19.4,1382
2020,KS,smoking,16.6,1421
2020,MI,smoking,18.4,1017
2020,MN,smoking,13.8,2111
2020,MO,smoking,17.8,1492
2020,ND,smoking,17.4,599
2020,NE,smoking,13.9,1866
2020,OH,smoking,19.3,2680
2020,SD,smoking,17.8,1053
2020,WI,smoking,15.5,682
2021,IA,smoking,14.6,1292
2021,IL,smoking,12.0,342
2021,IN,smoking,17.3,1410
2021,KS,smoking,15.6,2336
2021,MI,smoking,17.0,1252
2021,MN,smoking,13.4,1864
2021,MO,smoking,17.3,2050
2021,ND,smoking,15.0,714
2021,NE,smoking,13.4,1758
2021,OH,smoking,18.0,2234
2021,SD,smoking,15.3,1114
2021,WI,smoking,13.3,693
2022,IA,smoking,14.7,1195
2022,IL,smoking,12.4,451
2022,IN,smoking,16.2,1383
2022,KS,smoking,14.5,1397
2022,MI,smoking,15.2,1185
2022,MN,smoking,13.0,1767
2022,MO,smoking,16.8,1191
2022,ND,smoking,15.1,515
2022,NE,smoking,13.0,865
2022,OH,smoking,17.1,2450
2022,SD,smoking,14.0,1123
2022,WI,smoking,14.2,1384
2023,IA,smoking,13.7,1143
2023,IL,smoking,10.8,503
2023,IN,smoking,14.4,1374
2023,KS,smoking,13.9,1221
2023,MI,smoking,13.6,1114
2023,MN,smoking,12.2,1712
2023,MO,smoking,15.3,1040
2023,ND,smoking,13.4,606
2023,NE,smoking,12.1,1495
2023,OH,smoking,15.0,1772
2023,SD,smoking,15.2,814
2023,WI,smoking,12.0,1376
