state,measure,start_year,end_year,start_value,end_value,abs_change,pct_change
LA,coverage,2011,2023,73.2,93.4,20.2,27.6
WV,coverage,2011,2023,75.0,92.7,17.7,23.6
MS,coverage,2011,2023,69.3,86.4,17.1,24.68
AR,coverage,2011,2023,70.7,86.1,15.4,21.78
ID,coverage,2011,2023,73.5,88.6,15.1,20.54
OR,coverage,2011,2023,77.4,92.5,15.1,19.51
NV,coverage,2011,2023,67.9,82.8,14.9,21.94
FL,coverage,2011,2023,70.0,84.6,14.6,20.86
IN,coverage,2011,2023,76.4,90.9,14.5,18.98
OK,coverage,2011,2023,73.4,87.6,14.2,19.35
NM,coverage,2011,2023,73.9,87.7,13.8,18.67
GU,coverage,2011,2023,69.8,83.3,13.5,19.34
MT,coverage,2011,2023,75.9,89.3,13.4,17.65
AK,coverage,2011,2023,77.6,90.8,13.2,17.01
GA,coverage,2011,2023,71.0,84.0,13.0,18.31
NC,coverage,2011,2023,75.1,88.0,12.9,17.18
MO,coverage,2011,2023,78.7,91.4,12.7,16.14
TX,coverage,2011,2023,65.4,78.0,12.6,19.27
CA,coverage,2011,2023,78.5,91.1,12.6,16.05
WA,coverage,2011,2023,78.7,91.2,12.5,15.88
MI,coverage,2011,2023,81.7,94.1,12.4,15.18
UW,coverage,2011,2023,78.7,90.8,12.1,15.37
US,coverage,2011,2023,78.7,90.7,12.0,15.25
SC,coverage,2011,2023,74.6,86.4,11.8,15.82
IL,coverage,2011,2023,80.0,91.5,11.5,14.37
UT,coverage,2011,2023,78.4,89.7,11.3,14.41
AL,coverage,2011,2023,77.8,88.9,11.1,14.27
NH,coverage,2011,2023,84.0,94.7,10.7,12.74
WY,coverage,2011,2023,75.3,85.6,10.3,13.68
NY,coverage,2011,2023,82.7,92.9,10.2,12.33
ND,coverage,2011,2023,83.8,94.0,10.2,12.17
TN,coverage,2011,2023,78.3,88.3,10.0,12.77
KS,coverage,2011,2023,79.9,89.6,9.7,12.14
RI,coverage,2011,2023,83.4,93.0,9.6,11.51
CO,coverage,2011,2023,79.0,88.4,9.4,11.9
OH,coverage,2011,2023,83.2,92.2,9.0,10.82
AZ,coverage,2011,2023,77.6,86.5,8.9,11.47
HI,coverage,2011,2023,88.6,97.0,8.4,9.48
NE,coverage,2011,2023,80.9,88.9,8.0,9.89
VA,coverage,2011,2023,82.3,89.9,7.6,9.23
ME,coverage,2011,2023,84.7,91.8,7.1,8.38
WI,coverage,2011,2023,85.1,92.0,6.9,8.11
IA,coverage,2011,2023,85.8,92.6,6.8,7.93
MD,coverage,2011,2023,84.7,91.3,6.6,7.79
MN,coverage,2011,2023,86.5,93.1,6.6,7.63
NJ,coverage,2011,2023,82.1,88.6,6.5,7.92
VT,coverage,2011,2023,88.9,94.8,5.9,6.64
PR,coverage,2011,2023,88.8,94.1,5.3,5.97
CT,coverage,2011,2023,85.2,90.5,5.3,6.22
SD,coverage,2011,2023,84.6,89.8,5.2,6.15
DC,coverage,2011,2023,91.5,95.9,4.4,4.81
MA,coverage,2011,2023,92.3,96.5,4.2,4.55
DE,coverage,2011,2023,87.4,91.4,4.0,4.58
