region,year,measure,prevalence_pct,sample_size_total,rolling_avg
West,2011,obesity,24.56044072638237,24505,
West,2012,obesity,24.903158899592125,23046,24.896466586505188
West,2013,obesity,25.225800133541064,22465,25.386237677870287
West,2014,obesity,26.02975400047767,20935,25.549113646144306
West,2015,obesity,25.39178680441418,21295,25.83520960953018
West,2016,obesity,26.08408802369869,21267,26.025577688025354
West,2017,obesity,26.600858235963187,19342,26.657360254195282
West,2018,obesity,27.287134502923973,20007,27.23603489364689
West,2019,obesity,27.820111942053526,21261,27.77569134372813
West,2020,obesity,28.219827586206897,19256,28.529321090535387
West,2021,obesity,29.54802374334574,21227,29.41927989904566
West,2022,obesity,30.48998836758434,25790,30.070685004254116
West,2023,obesity,30.174042901832266,26852,
